Phone,Web_Link,Display,Battery,Processor,Storage,Camera,Weight,Dimensions,Data Technology
Terra,https://www.phonescoop.com/phones/phone.php?p=4803,"2.4 in diagonal, 4:3QVGA 240 x 320 pixels167 ppi approx.Type: LCD (TFT/TFD)",950 mAh LiIonRemovableTalk: 6 hours max.Standby: 360 hours max.,Qualcomm QSC6155256 MB RAM,512 MB raw hardware225 MB available to userNot expandable,"1+ megapixel night mode, timer",3.88 oz 110 g,4.17 x 2.05 x 0.74 in 106 x 52 x 18.8 mm,EVDO rA
Thrill 4G / Optimus 3D,https://www.phonescoop.com/phones/phone.php?p=3115,"4.3 in diagonal, 5:3WVGA 480 x 800 pixels217 ppi approx.Type: LCD (TFT/TFD)3D",1500 mAh LiIonRemovableTalk: 6 hours max.Standby: 312 hours max.,1 GHz TI OMAP 4430 dual-core ARM Cortex-A9512 MB RAM,8 GB raw hardware5.7 GB available to userExpandable via memory card,"5+ megapixel 3D modeLED flash, auto-focusmacro mode, face tracking, scene modesbrightness, white balance controlsVideo: 1080p HD or 720p in 3D mode",5.9 oz 167 g,5.07 x 2.67 x 0.47 in 129 x 68 x 11.9 mm,HSPA 14.4
Thrive / Phoenix,https://www.phonescoop.com/phones/phone.php?p=2821,"3.2 in diagonal, 3:2320 x 480 pixels180 ppi approx.Type: LCD (TFT/TFD)",1500 mAh LiIonRemovableTalk: 7.5 hours max.Standby: 480 hours max.,600 MHz,160 MB available to userExpandable via memory card2 GB card included,"3+ megapixel auto-focus, macro mode, geo-tagging, scene modesbrightness, ISO, white balance controlsVideo: VGA (640 x 480) up to 120 minutes",4.58 oz 130 g,4.47 x 2.32 x 0.53 in 114 x 59 x 13.5 mm,HSPA 7.2
Trax CU575,https://www.phonescoop.com/phones/phone.php?p=1178,176 x 220 pixelsType: LCD (TFT/TFD),980 mAh LiPolymerRemovableTalk: 3 hours max.Standby: 300 hours max.,?,Expandable via memory card,"1+ megapixel self-timer, multi-shotbrightness, white balance controlsVideo: QCIF (176 x 144)",3.89 oz 110 g,3.89 x 2.01 x 0.62 in 99 x 51 x 15.7 mm,HSDPA 3.6 plus EDGE
Tribute / Transpyre,https://www.phonescoop.com/phones/phone.php?p=4534,"4.5 in diagonal, 5:3WVGA 480 x 800 pixels207 ppi approx.Type: LCD (TFT/TFD)IPS",2100 mAh LiIonRemovableTalk: 15 hours max.,1.2 GHz Qualcomm Snapdragon 400 MSM8926quad-core1 GB RAM,4 GB raw hardware1.4 GB available to userExpandable via memory cardTranspyre comes with 8 GB instead of 4,"5+ megapixel LED flashpanorama, voice trigger, gesture shotVideo: 1080p HD",4.9 oz 139 g,5.02 x 2.67 x 0.42 in 128 x 68 x 10.7 mm,LTE (Cat 4)
Tribute 2 / Tribute Duo,https://www.phonescoop.com/phones/phone.php?p=4789,"4.5 in diagonal, 16:9FWVGA 480 x 854 pixels218 ppi approx.Type: LCD (TFT/TFD)IPS",1900 mAh LiIonRemovableTalk: 16 hours max.,1.2 GHz Qualcomm Snapdragon MSM8916quad-core1 GB RAM,8 GB raw hardware3.6 GB available to userExpandable via memory card,5+ megapixelVideo: 1080p HD video editor / can capture stills while recording video,4.9 oz 139 g,5.11 x 2.55 x 0.43 in 130 x 65 x 10.9 mm,LTE (Cat 4)
Tribute 5,https://www.phonescoop.com/phones/phone.php?p=5024,"5 in diagonal, 16:9FWVGA 480 x 854 pixels196 ppi approx.Type: LCD (TFT/TFD)IPS",2125 mAh LiIonRemovableTalk: 14.5 hours max.,1 GHz Qualcomm Snapdragon 210 MSM8909quad-core1 GB RAM,8 GB raw hardware4.2 GB available to userExpandable via memory card,"5+ megapixel LED flashvoice trigger, timerVideo: 720p HD",4.88 oz 138 g,5.67 x 2.83 x 0.35 in 144 x 72 x 8.9 mm,LTE (Cat 4)
Tribute HD,https://www.phonescoop.com/phones/phone.php?p=5260,"5 in diagonal, 16:9HD 720 x 1280 pixels294 ppi approx.Type: LCD (TFT/TFD)",2100 mAh LiIonRemovableTalk: 15 hours max.,1.3 GHz Qualcomm Snapdragon 212 MSM89091.5 GB RAM,16 GB raw hardware9.9 GB available to userExpandable via memory card,"8+ megapixel LED flashpanorama, face detection, voice trigger, can snap stills while recording videoVideo: 720p HD can snap stills while recording video",4.41 oz 125 g,5.7 x 2.81 x 0.27 in 145 x 71 x 6.9 mm,LTE (Cat 4)
Tribute Royal / K30 2019,https://www.phonescoop.com/phones/phone.php?p=6153,"5.5 in diagonal, 2:1720 x 1440 pixels295 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 20 hours max.,2 GHz MediaTek P22 MT6762octa-core2 GB RAM,16 GB raw hardware7.4 GB available to userExpandable via memory card,"8+ megapixel LED flashHDR, burst mode, voice trigger, Flash Jump Cut GIF maker, code scannerVideo: 1080p HD can take stills while recording video, supports YouTube Live, video editor",5.22 oz 148 g,5.78 x 2.82 x 0.33 in 147 x 72 x 8.4 mm,LTE (Cat 6)
Tritan AX-840 / UX-840,https://www.phonescoop.com/phones/phone.php?p=1920,"3 in diagonal, 5:3WQVGA 240 x 400 pixels155 ppi approx.Type: LCD (TFT/TFD)",950 mAhRemovableTalk: 3.5 hours max.Standby: 200 hours max.,?,300 MB internal storageExpandable via memory card,"3+ megapixel auto-focusmacro mode, night mode, self-timer, multi-shotVideo: QVGA (320 x 240) 1 hour",5.03 oz 143 g,4.45 x 2.24 x 0.65 in 113 x 57 x 16.5 mm,EVDO r0
True / 450 / B470,https://www.phonescoop.com/phones/phone.php?p=4500,"2.2 in diagonal, 5:4176 x 220 pixels128 ppi approx.Type: LCD (TFT/TFD)",950 mAh LiIonRemovableTalk: 7.2 hours max.Standby: 377 hours max.,230 MHz Qualcomm QSC6270,256 MB raw hardware178 MB available to userNot expandable,1+ megapixel night modeVideo: QCIF (176 x 144),3.63 oz 103 g,3.86 x 2 x 0.73 in 98 x 51 x 18.5 mm,HSDPA 3.6
V VX-9800,https://www.phonescoop.com/phones/phone.php?p=704,320 x 256 pixelsType: LCD (TFT/TFD),1300 mAh LiPolymerRemovableTalk: 4.2 hours max.Standby: 199 hours max.,?,128 MB internal storageExpandable via memory card,"1+ megapixel LED flashbusiness card readerself-timer, night mode, macro mode functionsbrightness, white balance controlsCMOS typeVideo: QVGA (320 x 240) 15 seconds max.",5.19 oz 147 g,4.57 x 1.97 x 1 in 116 x 50 x 25.4 mm,EVDO r0
V10 (CDMA),https://www.phonescoop.com/phones/phone.php?p=4974,"5.7 in diagonal, 16:9Quad HD 1440 x 2560 pixels515 ppi approx.Type: LCD (TFT/TFD)IPS Quantum Dot",3000 mAh LiIonRemovableTalk: 18 hours max.Standby: 168 hours max.,1.8 GHz Qualcomm Snapdragon 808 MSM8992hexa-core4 GB RAM,64 GB raw hardware50 GB available to userExpandable via memory card,"16+ megapixel OIS, laser focusing, f/1.8 lens, dual LED flash, color sensormanual mode, panoramaVideo: 4K UHD time-lapse mode, slow-motion mode (120 fps, 720p HD) / includes video editor with auto-edit mode",6.77 oz 192 g,6.28 x 3.12 x 0.34 in 160 x 79 x 8.6 mm,LTE (Cat 6)
V10 (GSM),https://www.phonescoop.com/phones/phone.php?p=4969,"5.7 in diagonal, 16:9Quad HD 1440 x 2560 pixels515 ppi approx.Type: LCD (TFT/TFD)LG IPS Quantum",3000 mAh LiIonRemovableTalk: 21 hours max.Standby: 160 hours max.,Qualcomm Snapdragon 808 MSM89924 GB RAM,64 GB raw hardware50 GB available to userExpandable via memory card,"16+ megapixel OIS, laser focusing, f/1.8 lens, dual LED flash, color sensormanual mode, panoramaVideo: 4K UHD time-lapse mode, slow-motion mode (120 fps, 720p HD) / includes video editor with auto-edit mode",6.77 oz 192 g,6 x 3.12 x 0.33 in 152 x 79 x 8.3 mm,LTE (Cat 6)
